"ID","betweenness","info","count","community"
"Merrill Gh",0.0,"Merrill Gh",5,14
"Woller R",0.0,"Woller R",1,49
"Krips H",0.0,"Krips H",1,103
"Parker Ws",0.003,"Parker Ws",5,3
"Van Dyck M",0.0,"Van Dyck M",1,104
"Contessa G",0.002,"Contessa G",2,3
"Mcevoy Jg",0.0,"Mcevoy Jg",1,14
"Schaffner Kf",0.026,"Schaffner Kf",40,11
"Zynda L",0.0,"Zynda L",1,6
"Horvath Cd",0.0,"Horvath Cd",1,11
"Stephens C",0.002,"Stephens C",16,26
"Narens L",0.0,"Narens L",1,105
"Hitchcock Cr",0.001,"Hitchcock Cr",6,7
"Delehanty M",0.0,"Delehanty M",1,1
"Burian Rm",0.0,"Burian Rm",3,14
"Millstein Rl",0.0,"Millstein Rl",7,26
"Vandewall H",0.0,"Vandewall H",1,8
"Swinburnrg",0.0,"Swinburnrg",1,4
"Koperski J",0.0,"Koperski J",1,106
"Smith Q",0.0,"Smith Q",4,33
"Healey R",0.001,"Healey R",8,3
"Boumans M",0.0,"Boumans M",1,3
"Myrvold Wc",0.002,"Myrvold Wc",14,6
"Dowe P",0.004,"Dowe P",19,7
"Schagrin Ml",0.0,"Schagrin Ml",3,1
"Shrader Dw",0.0,"Shrader Dw",1,7
"Machery E",0.0,"Machery E",8,8
"Renzi Bg",0.0,"Renzi Bg",1,107
"Vranas Pbm",0.002,"Vranas Pbm",6,3
"Bartha P",0.0,"Bartha P",1,108
"Stegmann Ue",0.0,"Stegmann Ue",3,0
"Vance Re",0.0,"Vance Re",2,11
"Roth Pa",0.0,"Roth Pa",1,32
"Suppes P",0.008,"Suppes P",7,27
"De Regt Hw",0.0,"De Regt Hw",3,11
"Culp S",0.0,"Culp S",4,3
"Schwartz Ph",0.0,"Schwartz Ph",2,0
"Da Costa N",0.002,"Da Costa N",3,9
"Kruse M",0.0,"Kruse M",1,8
"Schlesinger G",0.0,"Schlesinger G",1,4
"Causey Rl",0.0,"Causey Rl",3,4
"Pitt Jc",0.0,"Pitt Jc",1,8
"Suchting Wa",0.0,"Suchting Wa",1,109
"Vineberg S",0.0,"Vineberg S",1,110
"Emmerich Ds",0.0,"Emmerich Ds",1,111
"Sargent Rm",0.0,"Sargent Rm",1,7
"Kutach Dn",0.0,"Kutach Dn",1,7
"Kaiser M",0.0,"Kaiser M",1,16
"Gannett L",0.001,"Gannett L",3,8
"Churchland P",0.0,"Churchland P",2,112
"Graves Jc",0.0,"Graves Jc",1,113
"Vickers P",0.0,"Vickers P",1,16
"Kourany Ja",0.001,"Kourany Ja",8,9
"Hoefer C",0.003,"Hoefer C",7,3
"Edidin A",0.0,"Edidin A",6,14
"Feyerabend Pk",0.004,"Feyerabend Pk",3,27
"Harrah D",0.0,"Harrah D",2,25
"Ellson Dg",0.0,"Ellson Dg",1,20
"Hempel Cg",0.018,"Hempel Cg",13,7
"Root M",0.0,"Root M",7,8
"Puccetti R",0.0,"Puccetti R",1,32
"Ankeny Ra",0.0,"Ankeny Ra",4,11
"Steinle F",0.006,"Steinle F",4,3
"Huber F",0.0,"Huber F",4,6
"Kim S",0.0,"Kim S",4,11
"Dorling J",0.0,"Dorling J",2,7
"Nola R",0.0,"Nola R",2,16
"Forber P",0.0,"Forber P",2,26
"Sklar L",0.025,"Sklar L",15,3
"Schervish Mj",0.0,"Schervish Mj",1,114
"Campbell Dt",0.0,"Campbell Dt",1,32
"Mclaughlin R",0.0,"Mclaughlin R",2,7
"Wilson M",0.0,"Wilson M",1,115
"Mattingly J",0.0,"Mattingly J",1,48
"Porpora Dv",0.0,"Porpora Dv",2,0
"Clendinnen Fj",0.0,"Clendinnen Fj",4,7
"Potochnik A",0.002,"Potochnik A",8,8
"Frisch M",0.001,"Frisch M",4,9
"Caws P",0.011,"Caws P",4,27
"Kulvicki J",0.004,"Kulvicki J",2,1
"Gale G",0.0,"Gale G",1,32
"Eberle Ra",0.0,"Eberle Ra",1,116
"Alston Wp",0.005,"Alston Wp",2,4
"Trout Jd",0.003,"Trout Jd",7,11
"Weatherall Jo",0.0,"Weatherall Jo",2,7
"Maher P",0.009,"Maher P",19,6
"Graves Pr",0.0,"Graves Pr",2,9
"Bergmann G",0.0,"Bergmann G",4,32
"Elby A",0.0,"Elby A",1,117
"Couch Mb",0.0,"Couch Mb",4,11
"Suits B",0.0,"Suits B",1,118
"Splitter Lj",0.0,"Splitter Lj",4,8
"Jantzen B",0.0,"Jantzen B",1,0
"Goldstick D",0.0,"Goldstick D",1,119
"Weirich P",0.0,"Weirich P",1,125
"Henderson L",0.0,"Henderson L",1,120
"Fisk M",0.0,"Fisk M",1,49
"Reiss J",0.0,"Reiss J",2,3
"Averill Ew",0.0,"Averill Ew",1,122
"Rosenbera",0.0,"Rosenbera",2,75
"Ruse M",0.0,"Ruse M",5,0
"Garber D",0.002,"Garber D",4,6
"Acock M",0.0,"Acock M",3,49
"Jammer M",0.0,"Jammer M",1,27
"Allaire Eb",0.0,"Allaire Eb",1,134
"Rosen Da",0.004,"Rosen Da",9,1
"Giannoni C",0.0,"Giannoni C",4,7
"Wayne A",0.002,"Wayne A",10,6
"Beatty J",0.014,"Beatty J",38,26
"French S",0.0,"French S",4,9
"Piotrowska M",0.0,"Piotrowska M",1,82
"Hanson Pp",0.0,"Hanson Pp",1,16
"Polger Tw",0.0,"Polger Tw",2,11
"Leplin J",0.001,"Leplin J",5,16
"Stemmer N",0.0,"Stemmer N",1,4
"Kaplan M",0.0,"Kaplan M",2,9
"Walsh Dm",0.003,"Walsh Dm",29,26
"Hausman Dm",0.0,"Hausman Dm",3,0
"Leblanc H",0.0,"Leblanc H",1,124
"Shanks N",0.0,"Shanks N",2,11
"Glymour B",0.0,"Glymour B",11,26
"Zytkow Jm",0.0,"Zytkow Jm",6,14
"Ishida Y",0.0,"Ishida Y",1,26
"Byerly Hc",0.006,"Byerly Hc",4,4
"Laudan R",0.0,"Laudan R",3,16
"Miller Rw",0.0,"Miller Rw",1,8
"Bohnert Hg",0.0,"Bohnert Hg",2,21
"Stan M",0.0,"Stan M",1,126
"Woody Ai",0.002,"Woody Ai",2,26
"Psillos S",0.001,"Psillos S",11,16
"Love Ac",0.0,"Love Ac",2,0
"Lenhard J",0.0,"Lenhard J",4,3
"Hofer-Szabo G",0.0,"Hofer-Szabo G",1,8
"Sherry Dm",0.0,"Sherry Dm",1,127
"Wicken Js",0.0,"Wicken Js",2,8
"Hacking I",0.006,"Hacking I",14,6
"Horgan T",0.0,"Horgan T",2,17
"Mccauley Rn",0.0,"Mccauley Rn",3,11
"Cowan Ta",0.0,"Cowan Ta",2,16
"Siegel H",0.018,"Siegel H",9,32
"Ayala Fj",0.001,"Ayala Fj",5,0
"Odenbaugh J",0.0,"Odenbaugh J",4,3
"Mitchell Sd",0.003,"Mitchell Sd",19,11
"Rose Le",0.0,"Rose Le",3,123
"Skyrms B",0.025,"Skyrms B",27,6
"Clatterbaugh Kc",0.0,"Clatterbaugh Kc",1,128
"Guleserit",0.0,"Guleserit",1,129
"Madden Eh",0.0,"Madden Eh",7,49
"Craver Cf",0.004,"Craver Cf",18,11
"Maudlin T",0.001,"Maudlin T",5,3
"Fetzer Jh",0.006,"Fetzer Jh",5,7
"Glennan S",0.007,"Glennan S",20,11
"Cartwright Rl",0.0,"Cartwright Rl",1,49
"Sharp Dh",0.002,"Sharp Dh",4,27
"Romanos Gd",0.0,"Romanos Gd",2,7
"Cohen L",0.004,"Cohen L",2,27
"Keuth H",0.002,"Keuth H",2,4
"Brandon R",0.001,"Brandon R",6,26
"Levinstein Ba",0.0,"Levinstein Ba",1,6
"Zaret D",0.0,"Zaret D",1,14
"Mura A",0.0,"Mura A",1,130
"Castagnino M",0.0,"Castagnino M",2,14
"Ackermann Rj",0.0,"Ackermann Rj",1,98
"Barker Sf",0.0,"Barker Sf",1,131
"Sargent P",0.0,"Sargent P",1,132
"Fitzgerald P",0.0,"Fitzgerald P",1,33
"Solomon M",0.005,"Solomon M",10,9
"Gemes K",0.0,"Gemes K",2,1
"Demopoulos W",0.002,"Demopoulos W",11,16
"Krikorian Yh",0.0,"Krikorian Yh",2,16
"Newman M",0.0,"Newman M",1,16
"Hausman D",0.0,"Hausman D",2,1
"Quay Pm",0.0,"Quay Pm",2,3
"Darlington J",0.0,"Darlington J",1,133
"Pitowsky I",0.0,"Pitowsky I",1,91
"Schaffnekf",0.0,"Schaffnekf",1,4
"Caplan Al",0.0,"Caplan Al",4,8
"Schlegel R",0.0,"Schlegel R",4,4
"Ross D",0.0,"Ross D",1,16
"Knuuttila T",0.0,"Knuuttila T",2,9
"Easwaran K",0.0,"Easwaran K",1,6
"Owens J",0.0,"Owens J",4,0
"Guala F",0.0,"Guala F",1,14
"Eberle R",0.01,"Eberle R",16,4
"Miyake T",0.0,"Miyake T",1,3
"Kim J",0.001,"Kim J",11,4
"Slowik E",0.0,"Slowik E",1,3
"Longino He",0.0,"Longino He",3,9
"Plutynski A",0.0,"Plutynski A",2,9
"Mayo Dg",0.021,"Mayo Dg",28,6
"Ackermann R",0.003,"Ackermann R",19,4
"Sismondo S",0.0,"Sismondo S",1,8
"Bell J",0.0,"Bell J",1,135
"Gelfert A",0.0,"Gelfert A",1,3
"Matthen M",0.001,"Matthen M",6,26
"D'Arms J",0.0,"D'Arms J",5,6
"Franklin A",0.0,"Franklin A",2,9
"Churchland Pm",0.0,"Churchland Pm",7,45
"Baigrie Bs",0.0,"Baigrie Bs",1,32
"Webb J",0.0,"Webb J",1,136
"Rouse J",0.0,"Rouse J",1,96
"Mcallister Jw",0.001,"Mcallister Jw",6,3
"Kitts Db",0.0,"Kitts Db",7,8
"Stalnakerc",0.0,"Stalnakerc",5,124
"Barr Wf",0.004,"Barr Wf",3,4
"Reiser Ol",0.0,"Reiser Ol",1,137
"Eagle Mn",0.0,"Eagle Mn",1,138
"Bourgeois W",0.0,"Bourgeois W",1,16
"Wray Kb",0.002,"Wray Kb",4,9
"Ereshefsky M",0.001,"Ereshefsky M",22,8
"Vickers Jm",0.0,"Vickers Jm",1,139
"Nickles T",0.008,"Nickles T",5,1
"Sprenger J",0.001,"Sprenger J",3,6
"Goldstein Lj",0.0,"Goldstein Lj",1,140
"Oaklander Ln",0.0,"Oaklander Ln",1,141
"Halvorson H",0.003,"Halvorson H",11,14
"Erlichsoh",0.0,"Erlichsoh",1,14
"Rozeboom Ww",0.0,"Rozeboom Ww",12,14
"Krantz Dh",0.0,"Krantz Dh",2,142
"Elsamahi M",0.0,"Elsamahi M",1,16
"Catton P",0.0,"Catton P",1,64
"Howson C",0.003,"Howson C",6,6
"Marras A",0.0,"Marras A",1,143
"Winnie Ja",0.003,"Winnie Ja",22,7
"Clendinnfj",0.0,"Clendinnfj",2,7
"Rosenkrard",0.0,"Rosenkrard",1,144
"Gopnik A",0.0,"Gopnik A",3,9
"Gebharter A",0.0,"Gebharter A",1,145
"Osherson Dn",0.0,"Osherson Dn",1,57
"Kaplan Jm",0.0,"Kaplan Jm",1,8
"Adams Ew",0.0,"Adams Ew",1,146
"Pap A",0.0,"Pap A",1,147
"Godfreysmith P",0.0,"Godfreysmith P",4,8
"Heelan P",0.0,"Heelan P",1,148
"Stich Sp",0.002,"Stich Sp",8,11
"Carnap R",0.0,"Carnap R",1,3
"Hanna Jf",0.009,"Hanna Jf",3,32
"Pfeifer J",0.0,"Pfeifer J",1,26
"Uchii S",0.0,"Uchii S",2,8
"Jablonka E",0.0,"Jablonka E",3,0
"Choi Sh",0.0,"Choi Sh",1,7
"Gellner E",0.0,"Gellner E",7,13
"Norton Jd",0.014,"Norton Jd",21,3
"Cornman Jw",0.0,"Cornman Jw",3,149
"Sobel Jh",0.0,"Sobel Jh",3,6
"Rosenberg A",0.021,"Rosenberg A",24,26
"Hesslow G",0.005,"Hesslow G",12,1
"Khalidi Ma",0.0,"Khalidi Ma",1,8
"Loewer B",0.0,"Loewer B",1,150
"Menzies P",0.0,"Menzies P",1,7
"Barrett Ja",0.001,"Barrett Ja",8,6
"Waters Ck",0.025,"Waters Ck",28,8
"Walton D",0.0,"Walton D",1,8
"Nanay B",0.0,"Nanay B",3,0
"Monton B",0.0,"Monton B",1,14
"Mayo O",0.0,"Mayo O",1,3
"Riepe D",0.0,"Riepe D",2,46
"Steel D",0.001,"Steel D",5,9
"Park Jl",0.0,"Park Jl",3,27
"Horan Bl",0.004,"Horan Bl",10,26
"Armendt B",0.0,"Armendt B",5,6
"Cortes A",0.0,"Cortes A",4,37
"Massey Gj",0.0,"Massey Gj",1,152
"Sterelny K",0.002,"Sterelny K",10,0
"Machamer Pk",0.0,"Machamer Pk",2,149
"Meiland Jw",0.0,"Meiland Jw",1,32
"Hendry He",0.0,"Hendry He",1,2
"Maxwell N",0.006,"Maxwell N",18,7
"Filler J",0.0,"Filler J",1,26
"Craver Ce",0.001,"Craver Ce",2,11
"Gandenberger Gs",0.0,"Gandenberger Gs",1,153
"Steinberd",0.0,"Steinberd",1,1
"Laymon R",0.006,"Laymon R",7,14
"Shrader-Frechette K",0.0,"Shrader-Frechette K",1,9
"Nowak L",0.0,"Nowak L",1,8
"Kockelmajj",0.0,"Kockelmajj",1,154
"Dale Ai",0.0,"Dale Ai",2,123
"Fisch M",0.001,"Fisch M",2,1
"Putnam H",0.0,"Putnam H",4,27
"Macklin R",0.0,"Macklin R",1,155
"Munson R",0.003,"Munson R",8,0
"Margolis J",0.002,"Margolis J",3,32
"Pincock C",0.0,"Pincock C",3,9
"Saidel E",0.0,"Saidel E",2,0
"Smith Jm",0.001,"Smith Jm",10,0
"Suarez M",0.001,"Suarez M",4,9
"Sintonen M",0.001,"Sintonen M",2,8
"Sayre Km",0.004,"Sayre Km",4,7
"Morgan Cg",0.0,"Morgan Cg",8,4
"Hunt Ie",0.0,"Hunt Ie",2,156
"Gillies D",0.002,"Gillies D",6,6
"Leuridan B",0.0,"Leuridan B",1,11
"Clifton R",0.0,"Clifton R",1,157
"Ginsberg A",0.0,"Ginsberg A",1,37
"Leitgeb H",0.0,"Leitgeb H",8,6
"Dacosta Nca",0.001,"Dacosta Nca",7,14
"Horwich P",0.0,"Horwich P",4,9
"Mcmullin E",0.006,"Mcmullin E",4,16
"Thompson P",0.0,"Thompson P",2,9
"Hanson Nr",0.0,"Hanson Nr",2,32
"Jeffrey Rc",0.003,"Jeffrey Rc",7,9
"Kary Ce",0.0,"Kary Ce",1,11
"Krips Hp",0.0,"Krips Hp",3,27
"Bain J",0.0,"Bain J",1,48
"Ringen Jd",0.0,"Ringen Jd",3,0
"Churchman Cw",0.0,"Churchman Cw",2,9
"Abrams M",0.0,"Abrams M",2,26
"Keeley Bl",0.0,"Keeley Bl",3,11
"Shames Ml",0.0,"Shames Ml",1,158
"Bradie M",0.0,"Bradie M",1,159
"Delgado Rr",0.0,"Delgado Rr",1,151
"Liu C",0.003,"Liu C",9,3
"Millikan Rg",0.008,"Millikan Rg",10,0
"Kimbrough So",0.0,"Kimbrough So",1,11
"Chang Hs",0.0,"Chang Hs",6,16
"Weisberg M",0.012,"Weisberg M",21,3
"Earman J",0.014,"Earman J",26,14
"Chakravartty A",0.0,"Chakravartty A",4,16
"Ruse Me",0.0,"Ruse Me",6,0
"Grunberg E",0.0,"Grunberg E",1,160
"Corcoran J",0.0,"Corcoran J",1,11
"Heffernan Jd",0.0,"Heffernan Jd",1,53
"Field H",0.003,"Field H",9,6
"Dorato M",0.0,"Dorato M",1,7
"Woodward J",0.018,"Woodward J",26,11
"Hatfield G",0.0,"Hatfield G",1,11
"Friedman Ks",0.0,"Friedman Ks",4,3
"Hendry Rf",0.002,"Hendry Rf",5,8
"Joyce Jm",0.004,"Joyce Jm",13,6
"Libet B",0.0,"Libet B",2,19
"Collier J",0.0,"Collier J",4,1
"Bechtel W",0.007,"Bechtel W",23,11
"Casullo A",0.0,"Casullo A",1,161
"Fales E",0.0,"Fales E",2,162
"Devitt M",0.0,"Devitt M",4,8
"Shapiro S",0.0,"Shapiro S",1,163
"Herburt Gk",0.0,"Herburt Gk",2,164
"Kelly Kt",0.001,"Kelly Kt",5,9
"Travis Jl",0.0,"Travis Jl",1,165
"Feyerabepk",0.0,"Feyerabepk",1,7
"Margenau H",0.021,"Margenau H",24,27
"Winsberg E",0.001,"Winsberg E",11,3
"Manders Kl",0.0,"Manders Kl",2,64
"Stein H",0.003,"Stein H",8,7
"Morrison M",0.001,"Morrison M",5,3
"Marinoff L",0.0,"Marinoff L",1,166
"Vallentyne P",0.0,"Vallentyne P",1,8
"Albert Dz",0.0,"Albert Dz",1,59
"Magnus Pd",0.005,"Magnus Pd",5,9
"Ellis B",0.003,"Ellis B",15,7
"Grunbaum A",0.021,"Grunbaum A",25,7
"Lennox Jg",0.0,"Lennox Jg",1,1
"Hooker Ca",0.0,"Hooker Ca",8,109
"Shrader D",0.0,"Shrader D",1,7
"Cleland Ce",0.0,"Cleland Ce",1,8
"Scerri Er",0.0,"Scerri Er",1,34
"Kaplan Dm",0.001,"Kaplan Dm",4,11
"Moon P",0.0,"Moon P",1,167
"Noren Sj",0.0,"Noren Sj",2,168
"Omer Ia",0.0,"Omer Ia",6,4
"Kukla A",0.0,"Kukla A",4,16
"Sicha Jf",0.0,"Sicha Jf",1,169
"Velasco Jd",0.0,"Velasco Jd",1,8
"Lewis P",0.0,"Lewis P",1,170
"Forster Mr",0.003,"Forster Mr",5,16
"Stone Ad",0.001,"Stone Ad",3,14
"Christensen D",0.0,"Christensen D",11,14
"Tuana N",0.0,"Tuana N",1,171
"Cordero A",0.004,"Cordero A",4,16
"Brodbeck M",0.008,"Brodbeck M",6,32
"Brossel P",0.0,"Brossel P",1,6
"Robinson Jd",0.0,"Robinson Jd",2,11
"Churchland Ps",0.0,"Churchland Ps",4,19
"Bird A",0.0,"Bird A",1,4
"Roush S",0.0,"Roush S",1,172
"Hellman G",0.009,"Hellman G",9,6
"Friedman M",0.0,"Friedman M",1,173
"Goodwin W",0.0,"Goodwin W",2,1
"Mills Sk",0.004,"Mills Sk",23,26
"Fine A",0.0,"Fine A",3,9
"Quillian Mr",0.0,"Quillian Mr",1,174
"Boorse C",0.002,"Boorse C",8,0
"Narlikar Jv",0.0,"Narlikar Jv",1,7
"Jones R",0.0,"Jones R",3,96
"Wilkinson J",0.0,"Wilkinson J",1,175
"Currie G",0.0,"Currie G",2,162
"Rolin K",0.0,"Rolin K",1,7
"Schlagel Rh",0.0,"Schlagel Rh",1,14
"Brigandt I",0.0,"Brigandt I",2,0
